uf75-0100 37615 1 2 3 -4 -5 6 -7 8 -9 10 11 -12 -13 14 -15 16 17 -18 -19 -20 -21 22 23 -24 25 26 27 28 29 30 31 -32 -33 34 -35 -36 37 -38 39 -40 41 42 43 -44 45 46 -47 48 49 50 51 -52 53 54 -55 56 -57 -58 59 60 61 62 63 -64 65 66 67 -68 -69 70 71 72 -73 -74 -75 0
uf75-010 121472 1 2 -3 -4 -5 -6 7 8 9 -10 -11 -12 13 -14 15 -16 17 -18 19 20 21 22 23 24 25 -26 27 -28 29 30 31 32 33 -34 35 -36 -37 -38 39 -40 41 -42 43 44 -45 46 47 -48 -49 -50 -51 52 -53 54 -55 56 57 58 59 60 -61 -62 63 -64 65 -66 67 -68 69 -70 71 -72 -73 -74 -75 0
uf75-011 82885 -1 2 3 4 -5 6 7 8 9 10 11 12 -13 -14 15 -16 -17 -18 19 -20 21 -22 23 -24 25 26 -27 28 29 -30 -31 -32 33 34 -35 36 37 -38 -39 -40 41 42 -43 44 45 46 47 48 -49 50 51 -52 53 -54 55 56 57 58 59 -60 61 -62 63 -64 -65 -66 67 -68 -69 70 71 -72 -73 74 75 0
uf75-012 14801 -1 -2 3 -4 -5 6 7 8 9 10 -11 -12 13 -14 -15 16 -17 -18 19 20 -21 22 23 -24 25 -26 -27 28 29 30 31 32 -33 34 35 36 37 38 -39 -40 -41 42 43 44 45 46 -47 -48 -49 50 -51 52 -53 54 -55 -56 -57 58 59 -60 -61 62 63 64 65 -66 -67 -68 -69 -70 71 72 73 -74 75 0
uf75-013 94410 -1 2 3 4 5 6 -7 -8 -9 10 11 -12 13 -14 15 16 17 -18 -19 20 21 22 23 -24 25 26 27 -28 29 -30 31 32 33 -34 -35 36 37 -38 39 40 -41 42 43 -44 -45 -46 47 48 -49 50 51 52 -53 -54 -55 -56 -57 58 -59 60 61 62 -63 64 -65 66 67 68 69 -70 71 72 73 -74 75 0
uf75-014 111021 -1 2 -3 -4 -5 -6 -7 -8 -9 10 11 12 -13 14 15 16 -17 18 19 20 21 22 23 -24 -25 26 27 -28 29 30 -31 32 -33 34 35 36 -37 -38 -39 -40 41 42 -43 44 45 -46 47 -48 49 50 -51 52 53 54 -55 56 57 -58 59 -60 61 -62 -63 -64 -65 -66 67 68 -69 -70 71 -72 -73 -74 75 0
uf75-015 64894 1 2 3 4 5 -6 -7 8 -9 -10 -11 -12 13 14 -15 -16 -17 -18 -19 20 -21 22 23 24 25 26 27 28 -29 -30 31 32 33 34 -35 36 -37 38 -39 -40 -41 42 43 -44 45 46 -47 48 49 50 51 52 53 54 -55 -56 57 58 59 60 -61 -62 -63 -64 65 -66 -67 -68 69 70 71 72 -73 -74 75 0
uf75-016 20135 -1 -2 3 4 5 6 7 -8 9 10 -11 12 13 14 -15 16 -17 18 -19 20 -21 22 -23 -24 25 26 -27 -28 -29 -30 31 -32 -33 34 35 36 37 38 -39 -40 -41 -42 -43 44 -45 46 -47 48 49 -50 -51 -52 53 -54 -55 56 -57 -58 59 60 61 62 -63 64 65 -66 -67 68 -69 70 71 72 73 -74 75 0
uf75-017 80826 -1 -2 3 4 -5 -6 -7 8 -9 -10 -11 12 13 -14 15 16 -17 18 19 -20 21 -22 -23 -24 25 26 27 -28 29 -30 31 -32 -33 34 -35 -36 -37 -38 -39 -40 -41 42 43 -44 -45 46 47 -48 49 50 51 52 -53 54 55 56 57 58 -59 60 -61 -62 63 -64 65 66 67 -68 69 70 71 72 73 -74 75 0
uf75-018 78870 1 2 3 4 5 6 7 8 9 -10 -11 -12 -13 14 15 -16 17 -18 -19 -20 -21 -22 -23 24 -25 26 27 28 -29 -30 -31 32 -33 34 35 36 37 -38 39 -40 41 42 43 -44 45 -46 -47 48 49 50 -51 -52 53 54 -55 -56 57 58 -59 60 -61 62 63 64 65 -66 -67 -68 -69 70 -71 72 -73 -74 75 0
uf75-019 11394 -1 2 3 4 -5 6 -7 -8 9 -10 11 -12 13 -14 15 16 -17 18 -19 20 21 22 23 -24 -25 26 27 28 29 30 31 32 33 34 35 -36 37 -38 39 -40 -41 -42 43 -44 -45 -46 47 48 49 50 51 -52 -53 54 55 -56 -57 -58 -59 -60 61 -62 -63 -64 -65 -66 67 -68 -69 70 -71 -72 73 74 75 0
uf75-01 109541 -1 2 -3 4 5 6 -7 8 9 10 11 -12 -13 14 -15 -16 17 -18 -19 -20 -21 -22 -23 24 25 26 27 -28 29 30 31 32 33 34 -35 36 -37 38 -39 -40 41 42 -43 -44 -45 -46 47 -48 49 -50 -51 52 -53 -54 -55 56 57 -58 59 60 -61 -62 63 -64 -65 66 -67 68 69 -70 -71 -72 73 -74 75 0
uf75-020 28434 1 -2 3 4 -5 6 7 8 9 10 11 12 13 14 -15 16 17 18 -19 -20 21 -22 23 24 -25 26 -27 28 29 -30 31 32 33 34 35 36 37 38 -39 40 41 42 -43 -44 -45 46 47 -48 -49 -50 51 -52 53 54 55 56 -57 58 -59 -60 -61 62 63 64 65 -66 -67 68 69 70 71 72 73 -74 75 0
uf75-021 63739 1 2 3 -4 -5 -6 -7 -8 9 10 11 12 13 14 15 -16 17 18 19 20 21 -22 23 24 25 26 27 -28 29 30 31 32 -33 34 -35 36 37 -38 39 40 41 42 43 44 45 -46 47 48 -49 50 -51 52 53 -54 55 56 57 -58 -59 -60 61 -62 -63 64 65 66 -67 68 69 -70 71 72 -73 74 75 0
uf75-022 114842 1 -2 3 4 -5 -6 7 -8 9 -10 11 12 -13 -14 -15 16 17 -18 19 -20 21 -22 23 24 -25 26 27 -28 29 -30 31 32 -33 34 35 -36 37 38 39 40 -41 42 43 -44 -45 -46 -47 48 49 50 51 52 53 -54 55 56 -57 58 59 60 61 -62 63 64 65 -66 67 -68 -69 70 -71 72 73 -74 -75 0
uf75-023 41015 -1 2 3 -4 -5 6 -7 8 -9 -10 11 -12 13 14 15 -16 -17 -18 19 20 21 -22 -23 -24 25 -26 -27 -28 -29 30 31 32 33 -34 -35 -36 37 38 -39 -40 41 -42 43 -44 45 46 47 48 -49 50 51 52 53 -54 55 -56 57 -58 -59 -60 -61 -62 63 64 65 66 67 -68 -69 70 71 72 73 -74 75 0
uf75-024 46822 1 -2 -3 4 -5 -6 -7 -8 -9 -10 11 -12 -13 -14 -15 16 17 -18 19 -20 21 22 23 24 -25 -26 27 -28 29 30 31 -32 -33 34 35 36 37 -38 -39 40 -41 42 -43 -44 45 -46 47 -48 49 -50 -51 -52 53 54 55 56 57 58 59 -60 61 -62 -63 -64 65 66 -67 68 -69 -70 71 -72 -73 -74 75 0
uf75-025 79178 1 -2 -3 -4 -5 -6 -7 -8 -9 10 11 -12 13 14 -15 16 -17 18 19 20 -21 22 23 24 25 26 -27 -28 29 30 31 32 33 34 -35 36 -37 38 39 40 41 -42 43 -44 -45 -46 47 -48 -49 -50 51 52 -53 -54 55 56 -57 58 -59 -60 -61 -62 63 -64 65 66 67 68 69 70 -71 72 73 74 75 0
uf75-026 60524 1 -2 3 -4 -5 -6 -7 -8 -9 -10 -11 -12 13 -14 -15 16 -17 18 19 -20 21 -22 -23 -24 25 -26 -27 -28 -29 30 -31 -32 33 34 35 36 37 -38 -39 -40 41 -42 43 -44 45 -46 47 -48 49 -50 51 52 -53 54 55 56 -57 -58 59 -60 61 62 -63 64 -65 66 -67 68 -69 70 -71 72 -73 -74 75 0
uf75-027 92973 -1 2 3 4 5 -6 -7 8 9 10 -11 12 -13 -14 15 16 17 -18 19 20 -21 -22 23 -24 -25 -26 -27 -28 -29 30 -31 32 33 34 -35 -36 -37 -38 39 40 41 -42 43 -44 45 46 -47 -48 -49 -50 -51 52 53 -54 -55 56 -57 -58 -59 60 61 -62 63 -64 -65 -66 67 68 69 70 71 -72 -73 74 75 0
